"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Quero, Edgar",700337,2026,3,1,0.0,0.045,-0.045,0.0,0.045,-0.045,0.0,0.04,-0.04
"Bailey, Patrick",672275,2026,3,2,0.0,0.221,-0.221,0.0,0.536,-0.536,0.0,0.314,-0.314
"Ortiz, Joey",687401,2026,3,3,0.667,0.471,0.196,0.667,0.861,-0.1939999999999999,0.695,0.569,0.126
"O'Neill, Tyler",641933,2026,3,2,0.5,0.158,0.3419999999999999,0.5,0.178,0.322,0.601,0.353,0.248
"Lee, Brooks",686797,2026,3,1,0.0,0.165,-0.165,0.0,0.183,-0.183,0.0,0.152,-0.152
"Rivas, Leo",660844,2026,3,1,0.0,0.005,-0.005,0.0,0.006,-0.006,0.253,0.257,-0.004
"Pereira, Everson",677592,2026,3,0,0.0,,,0.0,,,0.0,0.0,0.0
"Mayo, Coby",691723,2026,3,1,0.0,0.001,-0.001,0.0,0.001,-0.001,0.253,0.253,0.0
"McCutchen, Andrew",457705,2026,2,1,0.5,0.329,0.1709999999999999,1.0,0.812,0.1879999999999999,0.794,0.477,0.317
"Palacios, Richie",680700,2026,2,1,0.0,0.03,-0.03,0.0,0.032,-0.032,0.0,0.028,-0.028
"Schneemann, Daniel",682177,2026,2,1,0.5,0.279,0.2209999999999999,1.0,0.605,0.395,0.794,0.367,0.427
"Benintendi, Andrew",643217,2026,2,0,0.0,,,0.0,,,0.0,0.0,0.0
"Martínez, Angel",682657,2026,2,1,0.0,0.005,-0.005,0.0,0.013,-0.013,0.0,0.009,-0.009
"Rengifo, Luis",650859,2026,2,2,0.0,0.339,-0.339,0.0,0.351,-0.351,0.0,0.304,-0.304
"Mayer, Marcelo",691785,2026,2,2,1.0,0.554,0.4459999999999999,1.5,1.161,0.3389999999999999,1.315,0.718,0.597
"Kiner-Falefa, Isiah",643396,2026,2,1,0.0,,,0.0,,,0.0,0.0,0.0
"Sosa, Lenyn",672820,2026,2,1,0.0,0.2,-0.2,0.0,0.211,-0.211,0.0,0.179,-0.179
"Haggerty, Sam",664059,2026,2,0,0.0,,,0.0,,,0.0,0.0,0.0
"García Jr., Luis",671277,2026,2,2,0.0,0.006,-0.006,0.0,0.013,-0.013,0.0,0.009,-0.009
"Carter, Evan",694497,2026,2,2,0.0,0.041,-0.041,0.0,0.051,-0.051,0.0,0.038,-0.038
"Marte, Noelvi",682622,2026,2,0,0.0,,,0.0,,,0.0,0.0,0.0
"Duran, Ezequiel",677649,2026,1,0,0.0,,,0.0,,,0.0,0.0,0.0
"Conforto, Michael",624424,2026,1,0,0.0,,,0.0,,,0.0,0.0,0.0
"Allen, Nick",669397,2026,1,0,0.0,,,0.0,,,0.0,0.0,0.0
"Perkins, Blake",663368,2026,1,1,0.0,0.003,-0.003,0.0,0.003,-0.003,0.0,0.003,-0.003
"Teodosio, Bryce",669326,2026,1,1,0.0,0.334,-0.334,0.0,0.379,-0.379,0.0,0.319,-0.319
"McGuire, Reese",624512,2026,1,0,0.0,,,0.0,,,0.0,0.0,0.0
"Higashioka, Kyle",543309,2026,1,1,1.0,0.617,0.383,1.0,0.674,0.3259999999999999,1.042,0.564,0.4780000000000001
"Fraley, Jake",641584,2026,1,1,1.0,0.082,0.918,1.0,0.086,0.914,1.042,0.074,0.968
"Castellanos, Nick",592206,2026,1,1,0.0,0.054,-0.054,0.0,0.188,-0.188,0.0,0.099,-0.099
"Larnach, Trevor",663616,2026,1,0,0.0,,,0.0,,,0.0,0.0,0.0
"Clemens, Kody",665019,2026,1,1,0.0,0.101,-0.101,0.0,0.114,-0.114,0.0,0.097,-0.097
"Benson, Will",666181,2026,1,0,0.0,,,0.0,,,0.0,0.0,0.0
"Myers, Dane",667472,2026,1,1,0.0,0.066,-0.066,0.0,0.207,-0.207,0.0,0.111,-0.111
"Pederson, Joc",592626,2026,1,1,0.0,0.014,-0.014,0.0,0.02,-0.02,0.0,0.014,-0.014
"Hill, Derek",656537,2026,1,0,0.0,,,0.0,,,0.0,0.0,0.0
"Lockridge, Brandon",663604,2026,1,1,0.0,0.134,-0.134,0.0,0.154,-0.154,0.0,0.122,-0.122
"Peters, Tristan",671976,2026,1,0,0.0,,,0.0,,,0.0,0.0,0.0
"Feduccia, Hunter",676439,2026,1,0,0.0,,,0.0,,,0.0,0.0,0.0
